ID,Start time,Completion time,Email,Name,Last modified time,What is your gender?,In which year you were born: ________ (e.g.1998),What is your current employment status? ,How frequently do you buy clothes before COVID-19 pandemic?,How frequently do you buy clothes after the COVID-19 pandemic?,"To what extent does your budget share on fast fashion items than before the COVID-19 pandemic? (e.g. 20% for increase 20%, -20% for decrease 20%)",Column,2,"Statement when deciding to purchase a new fast fashion item before the COVID-19 pandemic
  ",Please specify the reason,"Statement when deciding to purchase a new fast fashion item after the COVID-19 pandemic
  ",Please specify the reason2,3,4,5,6,High quality fabric     ,Fashionable design,Superior craftsmanship,  Easy to maintain, Use recycled and eco-friendly materials, Products come from a fair-traded company ,Price ,Suitable for various occasions,High quality fabric     2,Fashionable design2,Superior craftsmanship , Easy to maintain     , Use recycled and eco-friendly materials     , Products come from a fair-traded company 2, Price,Suitable for various occasions2,Describe any changes you've noticed in your lifestyle due to the COVID-19 pandemic and how these have affected your clothing purchases. , How do you deal with the old clothes or the clothes you don’t like before the COVID-19 pandemic,Please specify the measurement,"How do you deal with the old clothes or the clothes you don’t like after the COVID-19 pandemic
  
",Please specify the measurement2,7,8,9,10, Have you observed an increase in marketing related to sustainability from fast fashion brands since the COVID-19 pandemic? How does this influence your purchasing decisions?,How has your perception of sustainable fashion changed since the COVID-19 pandemic? What could be your motivation for a sustainable fashion purchase? Please describe in detail.,"Describe any significant changes you've noticed in the quality, sustainability, or marketing of fast fashion products since the COVID-19 pandemic began."
39,8/18/24 11:11:24,8/18/24 11:14:52,anonymous,,,Man,1997,Part-time employed,Annually,Annually,-40%,Agree,Agree,When my clothes wear out,,When my clothes wear out,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,More Important,Significant more important,Neutral,More Important,Neutral,Neutral,Significant more important,Neutral,Significant more important,Significant more important,Significant more important,More Important,Neutral,Neutral,Neutral,Neutral,I buy less clothes now and focus more on second hand items if possible,I donate them.,,I donate them.,,,Neither agree nor disagree,Somewhat not important,Agree,No change in marketing and no influence on my decisions,It hasn't really changed.,Haven't noticed any changes.
40,8/18/24 11:10:38,8/18/24 11:15:05,anonymous,,,Woman,1986,Full-time employed,Every two month,Quarterly,-30%,Agree,Agree,When I am bored with my current clothes,,When my clothes wear out,,Neither agree nor disagree,Disagree,Agree,Agree,less important,More Important,less important,less important,less important,less important,Neutral,Neutral,More Important,less important,More Important,Neutral,More Important,More Important,More Important,Neutral,work from home a lot more and don't socialise as much so I wear much more homely clothes (some even with holes in),I donate them.,,I donate them.,,,Agree,Somewhat important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,probably more consumption of content over the lockdowns where influencers talk about sustainable practises and that has influenced me ,lots more greenwashing from companies
41,8/18/24 11:11:16,8/18/24 11:15:12,anonymous,,,Man,1996,Full-time employed,Quarterly,Quarterly,-10%,Agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Agree,Disagree,Agree,Neither agree nor disagree,More Important,Neutral,More Important,More Important,Neutral,More Important,Significant more important,More Important,More Important,Neutral,More Important,More Important,Neutral,More Important,Significant more important,More Important,It hasn't affected anything too much for me,I donate them.,,I donate them.,,,Neither agree nor disagree,Somewhat important,Neither agree nor disagree,No change in marketing and no influence on my decisions,I will only think about purchasing such stuff if it was affordable,The quality of products is getting worse with time
42,8/18/24 11:10:03,8/18/24 11:15:16,anonymous,,,Woman,2001,Full-time employed,Every two month,Every two month,40%,Neither agree nor disagree,Strongly agree,When my clothes wear out,,When new trendy clothes releasing,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,More towards the trendy side of things as I’ve gotten older ,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,"I believe my fashion sense all depends on a matter of factors like how much money it is, and if I really need it or now ","A lot of products come from abroad through tik tok, Vinted or Temu "
43,8/18/24 11:11:14,8/18/24 11:16:46,anonymous,,,Woman,1992,Full-time employed,Monthly ,Monthly ,10%,Agree,Neither agree nor disagree,When my clothes wear out,,When I find a piece I like,,Neither agree nor disagree,Disagree,Agree,Disagree,More Important,Neutral,More Important,More Important,Neutral,Neutral,More Important,less important,Significant more important,Neutral,Significant more important,Significant more important,Neutral,Neutral,Significant more important,less important,"Post Covid-19 bills the cost of living is higher, and this affects how much of my budget I have available to spend on clothes. ",I donate them.,,I gave them to someone I know,,,Agree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,I want to buy clothing in fabrics that last a long time. ,"Brands now focus more on sustainability, but this isn't necessarily matched in quality. "
44,8/18/24 11:11:18,8/18/24 11:17:05,anonymous,,,Woman,1989,Full-time employed,Monthly ,Quarterly,40% decrease,Strongly agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Agree,Neither agree nor disagree,Agree,Disagree,More Important,More Important,Neutral,More Important,Neutral,Neutral,More Important,More Important,More Important,More Important,More Important,More Important,Neutral,More Important,More Important,More Important,I don't go out as much as before so I don't feel like I need to buy a lot of clothes for clubs or going to more fancy places.,I donate them.,,I donate them.,,,Strongly agree,Somewhat important,Agree,Greatly increased and positively influenced my decisions,I am definitely try to buy more items from charity shops and give a new home to clothes. I am also focusing more on higher quality that will last longer. ,Brands like shein  or tiktok shops are really popular right now 
45,8/18/24 11:10:11,8/18/24 11:17:36,anonymous,,,Man,1980,Full-time employed,Monthly ,Every two month,-50%,Agree,Strongly agree,When I find a piece I like,,When my clothes wear out,,Agree,Disagree,Agree,Agree,More Important,More Important,More Important,Neutral,Neutral,Neutral,More Important,Neutral,More Important,Neutral,More Important,Neutral,More Important,More Important,More Important,More Important,The growth of Vinted means I rarely buy new clothes now.,I have them in my closet but never use them.,,Other,I sell them on Vinted,Agree,Agree,Neutral,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,Vinted has become huge and helped me understand the value of selling on clothes and not disposing of them,It feels like high street shops are closing and the market is becoming more fragmented. People get their clothes from all over the world via the web.
46,8/18/24 11:09:38,8/18/24 11:17:53,anonymous,,,Woman,1986,Full-time employed,Monthly ,Quarterly,-40%,Disagree,Strongly agree,When I am bored with my current clothes,,When my clothes wear out,,Strongly agree,Agree,Strongly agree,Agree,More Important,More Important,Neutral,More Important,Neutral,Neutral,Neutral,More Important,less important,More Important,less important,More Important,Neutral,Neutral,Significant more important,Neutral,"Go out less often now so I don’t need as many clothes, I also wear a uniform now for work which has meant that I no longer need lots of clothes.",I donate them.,,Other,Sell them,Agree,Neither agree nor disagree,Somewhat important,Neither agree nor disagree,No change in marketing and no influence on my decisions,"It hasn’t really changed, I have always been aware of the impact of purchasing from cheaper brands/shops. ","I haven’t really noticed any changes, some companies try and promote that they are more sustainable but I wouldn’t say I have seen that much of a difference."
47,8/18/24 11:09:59,8/18/24 11:18:12,anonymous,,,Woman,1985,Full-time employed,Monthly ,Every two month,20,Strongly agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Significant more important,More Important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,I now buy quality over quantity,I donate them.,,I donate them.,,,Agree,Extremely important,Strongly agree,Somewhat increased and somewhat influenced my decisions,Global warming and the fact that I now work from home on some days and therefore need less,Clothing has become more expensive
48,8/18/24 11:12:48,8/18/24 11:19:35,anonymous,,,Woman,1975,Full-time employed,Monthly ,Monthly ,No change ,Strongly disagree,Strongly disagree,When I find a piece I like,,When I find a piece I like,,Agree,Disagree,Agree,Agree,Neutral,Significant less important,Significant less important,More Important,Significant less important,Significant less important,Significant more important,less important,Significant less important,Significant less important,Significant less important,More Important,Significant less important,Significant less important,Significant more important,less important,More shopping online because there are more affordable sites now,I donate them.,,I donate them.,,,Strongly disagree,Extremely not important,Strongly disagree,No change in marketing and no influence on my decisions,"Question 23, I've noticed more advertising for sustainable clothes but it doesn't influence me. You didn't let me answer accurately. I can't afford to shop sustainably ",More prominent in marketing campaigns
49,8/18/24 11:12:01,8/18/24 11:19:40,anonymous,,,Woman,2004,Students,Quarterly,Quarterly,50%,Strongly agree,Disagree,When I find a piece I like,,When I am bored with my current clothes,,Neither agree nor disagree,Disagree,Strongly agree,Disagree,less important,Neutral,Neutral,less important,Neutral,Neutral,less important,More Important,Significant more important,More Important,Neutral,Neutral,Neutral,Neutral,More Important,Neutral,More likely to use vinted as clothes are cheaper but still good quality.,I donate them.,,I donate them.,,,Disagree,Somewhat not important,Strongly disagree,No change in marketing and no influence on my decisions,"Sustainable fashion (that doesn't include second hand clothes) is often a lot more expensive, so a motivation would be if it cost less/ if it was made in the UK rather than internationally, due to transportation contributing to climate change.",I wouldn't say I have noticed any significant changes.
50,8/18/24 11:12:08,8/18/24 11:20:00,anonymous,,,Woman,1973, Self-employed,Monthly ,Quarterly,25%,Disagree,Disagree,When my clothes wear out,,When I find a piece I like,,Agree,Disagree,Neither agree nor disagree,Strongly agree,Significant more important,More Important,More Important,More Important,less important,less important,Neutral,Neutral,less important,Neutral,Significant less important,Neutral,More Important,Neutral,Significant more important,More Important,Happy to buy the odd piece of fast fashion to keep a few new items in my wardrobe.  More conscious of cost now. ,I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,"I like the idea of sustainable fashion however often the cost is too prohibitive and can’t be justified against buying a couple of cheaper items that I know will get just as much, if not more, wear.",I think fast fashion items are actually better made than I expect. 
51,8/18/24 11:14:37,8/18/24 11:21:34,anonymous,,,Woman,1994,Full-time employed,Monthly ,Every two month,-5%,Agree,Agree,Others,It was really a mix of all of the reasons.,Others,It's still a mix - but now I also feel it's more about a capsule wardrobe or pieces that work really well with each other.,Disagree,Agree,Strongly agree,Disagree,Neutral,Significant more important,More Important,More Important,less important,Neutral,More Important,More Important,More Important,Significant more important,less important,Neutral,less important,Neutral,More Important,More Important,I am trying to save money on my clothes spend so often check Vinted and Depop first for clothes from fast-fashion brands. I also wait to purchase clothes for a longer time. Not many lifestyle changes have occured for me since the pandemic.,I continue to wear them ,,Other,I gave some to the charity shop and sold some on Vinted.,Agree,Agree,Somewhat not important,Strongly disagree,Somewhat increased and somewhat influenced my decisions,"I think people became more aware due to Shein hauls over the pandemic. I became more aware because of the TikTok influencer visit to the factory which went badly for them.

To motivate me to make a purchase, it has to be in my budget and in my style more than anything.",They have become less quality - I grew up wearing fast fashion and still have pieces from back then. The newer pieces seem to break or wear down easier now. Marketing also seems to attempt to make it more high end but I think consumers either see through it or don't care.
52,8/18/24 11:09:59,8/18/24 11:22:56,anonymous,,,Woman,1991,Full-time employed,Quarterly,Quarterly,10%,Strongly agree,Strongly agree,When I find a piece I like,,When my clothes wear out,,Strongly agree,Disagree,Strongly agree,Strongly agree,More Important,Neutral,Neutral,More Important,Neutral,Neutral,More Important,More Important,Significant more important,Neutral,Neutral,More Important,Significant more important,Significant more important,less important,Significant more important,I am more aware about the workers involved in making clothes and I'm now conscious that my buy affects them.,I donate them.,,I donate them.,,,Agree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,When looking a winter jacket. One that will last me for years I will look to see its sustainability. I would want it to be fully functional and waterproof. ,I haven't noticed a big change personally.
53,8/18/24 11:11:18,8/18/24 11:23:29,anonymous,,,Woman,1981, Self-employed,Every two month,Every two month,40%,Agree,Agree,When I find a piece I like,,When my clothes wear out,,Agree,Agree,Agree,Neither agree nor disagree,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,Neutral,More Important,Neutral,Neutral,Neutral,More Important,More Important,More Important,Neutral,"Increased spending on groceries and utilities means that I have less expendable money to spend on clothing. The temptation to buy fast fashion as a result of it being cheaper is therefore appealing, however the use of fair trade and eco companies has become more important to me. I do still buy fast fashion, but I'm trying to avoid it where possible.",I donate them.,,I donate them.,,,Agree,Extremely important,Agree,Somewhat increased and somewhat influenced my decisions,"I'm not sure that my perception has changed specifically since the pandemic, but I am making a more conscious effort to purchase sustainable options.  My motivation for this is to improve human and environmental impact in the supply chain.",I've noticed more marketing on social media. Lots of companies advertising directly from the country of origin - e.g Shein and Temu.
54,8/18/24 11:11:48,8/18/24 11:24:14,anonymous,,,Woman,1997,Full-time employed,Quarterly,Every two month,10%,Agree,Neither agree nor disagree,When I find a piece I like,,When new trendy clothes releasing,,Neither agree nor disagree,Disagree,Agree,Disagree,More Important,Significant more important,Neutral,Significant more important,Significant more important,More Important,Neutral,More Important,More Important,Significant more important,Significant more important,More Important,Significant more important,Significant more important,Neutral,More Important,"The COVID-19 pandemic shifted my lifestyle to more remote work and social distancing, leading to fewer formal events. This change reduced my need for formal attire, so I now prioritize comfortable, casual clothing that suits a home-based, low-key lifestyle.",I donate them.,,I donate them.,,,Neither agree nor disagree,Extremely important,Agree,Somewhat increased and somewhat influenced my decisions,"Since the COVID-19 pandemic, I've become more aware of the environmental impact of fast fashion. My motivation for sustainable fashion purchases now includes a desire to support ethical practices, reduce waste, and invest in quality pieces that last longer.","Since the COVID-19 pandemic began, I've noticed some fast fashion brands placing more emphasis on sustainability in their marketing, promoting eco-friendly materials and ethical practices. "
55,8/18/24 11:14:59,8/18/24 11:27:36,anonymous,,,Woman,1965,Retired ,Quarterly,Every two month,-30%,Neither agree nor disagree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Agree,Disagree,Strongly agree,Disagree,More Important,More Important,More Important,More Important,Neutral,Neutral,Significant more important,Neutral,More Important,More Important,More Important,More Important,Neutral,Neutral,More Important,Neutral,I am more likely to buy from a charity shop or second-hand selling sites now,I donate them.,,I donate them.,,,Neither agree nor disagree,Somewhat important,Neither agree nor disagree,No change in marketing and no influence on my decisions,"When needing a new outfit, I will always look for a second-hand (and therefore sustainable) outfit first before looking to purchase new. However if purchasing new, the price will influence me more rather than whether it is made in a sustainable way.",Since covid-19 I haven't been aware of any particular change in fast fashion marketing but I have seen more reference to sustainable materials being used in manufacturing.
56,8/18/24 11:11:59,8/18/24 11:28:52,anonymous,,,Woman,1995,Full-time employed,Monthly ,Monthly ,15,Strongly agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Significant more important,Significant more important,More Important,More Important,Significant more important,Significant more important,More Important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,I purchase more now than I use to before Pandemic because before I use to wear some cloths twice before wash but now due to be more save I wash my cloth each time I return from work. ,I gave them to someone I know,,I throw them aside.,,,Strongly agree,Extremely important,Strongly agree,Greatly increased and positively influenced my decisions,I just want to be more careful due to the pandemic experience. ,There's no significant notice in quality not sustainability of fashion apart from price increase due to economic challenge. 
57,8/18/24 13:12:00,8/18/24 13:20:00,anonymous,,,Man,2000,Full-time employed,Quarterly,Quarterly,100-200 on a full outfit ,Neither agree nor disagree,Agree,When I am bored with my current clothes,,When I am bored with my current clothes,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Significant more important,Significant more important,Neutral,Neutral,Neutral,Neutral,less important,Neutral,More Important,less important,Neutral,Neutral,More Important,Neutral,More Important,Neutral,More cautious on how much I spend and need to maintain enough savings for work uniform when it wears out. Prices on casual clothing have inflated!,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,"I admire fashion! However, I don’t follow a trend or fashion myself but I will treat myself rarely to clothes I like. Anything you feel comfortable in and anything that’s suitable I guess!",High brands have increased in price to claim back money they may have lost during the pandemic. 
58,8/18/24 17:37:35,8/18/24 17:48:41,anonymous,,,Woman,1994,Part-time employed,Quarterly,Quarterly,0%,Neither agree nor disagree,Disagree,When new trendy clothes releasing,,When new trendy clothes releasing,,Agree,Agree,Neither agree nor disagree,Disagree,Significant more important,Significant more important,Neutral,Neutral,less important,less important,less important,More Important,Significant more important,Significant more important,Neutral,Neutral,less important,less important,less important,Significant more important,I don’t see any differences to be honestly,I gave them to someone I know,,I gave them to someone I know,,,Neither agree nor disagree,Somewhat not important,Disagree,I have not noticed any changes,Honestly I don’t change much due to Covid,I don’t change much honestly 
59,8/19/24 11:10:49,8/19/24 11:16:47,anonymous,,,Woman,1996,Part-time employed,Every two month,Monthly ,10%,Agree,Disagree,When new trendy clothes releasing,,When I am bored with my current clothes,,Disagree,Agree,Agree,Neither agree nor disagree,More Important,Neutral,less important,Neutral,Significant less important,less important,More Important,More Important,Neutral,Neutral,Neutral,less important,less important,less important,More Important,More Important,I felt I bought less fashion trend clothes after that.,I continue to wear them ,,I continue to wear them,,,Agree,Somewhat important,Disagree,Somewhat increased and somewhat influenced my decisions,Higher quality is more important than before,People around me are starting use eco-bag or high quality clothing instead of the plastic one
60,8/19/24 11:34:17,8/19/24 11:46:19,anonymous,,,Woman,1994,Full-time employed,Monthly ,Every two month,20% increase ,Agree,Agree,When new trendy clothes releasing,,When I am bored with my current clothes,,Neither agree nor disagree,Disagree,Agree,Agree,Neutral,More Important,Neutral,More Important,Neutral,Neutral,More Important,More Important,Significant more important,Neutral,More Important,Significant more important,Significant more important,More Important,Significant more important,Significant more important,Purchasing new clothing much more less than before ,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Agree,Somewhat increased and somewhat influenced my decisions,Going to events that need different styles of clothing ,Fast fashion material not as good and more expensive 
61,8/19/24 12:26:43,8/19/24 12:30:56,anonymous,,,Woman,1999,Full-time employed,Monthly ,Quarterly,30%,Strongly agree,Strongly agree,When I am bored with my current clothes,,When my clothes wear out,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,less important,Significant more important,less important,less important,less important,less important,Significant more important,less important,Significant more important,Significant more important,Significant more important,Significant more important,less important,less important,Significant more important,More Important,买衣服的频率更少了，懒得逛淘宝，经常退货,I donate them.,,I donate them.,,,Agree,Somewhat not important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,没什么感觉，不太了解环保材料这方面，无感,在抖音、小红书等常用消耗时间的软件上刷到的广告更多了
62,8/19/24 21:44:58,8/19/24 22:03:07,anonymous,,,Woman,2002,Students,Weekly,Weekly,30%,Disagree,Disagree,When I find a piece I like,,When I find a piece I like,,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neutral,Significant more important,less important,Neutral,Significant less important,Neutral,More Important,less important,More Important,Significant more important,Neutral,Neutral,less important,Neutral,Significant more important,less important,"I didn't go out much during the pandemic, so I didn't buy new clothes for a long time. This made me buy a lot of clothes in revenge for a period of time after the epidemic basically ended, and I got pleasure from it, which directly led me to be very crazy about buying clothes now.",I have them in my closet but never use them.,,I donate them.,,,Disagree,Somewhat not important,Disagree,Somewhat increased and somewhat influenced my decisions,"My views on sustainable fashion haven't changed much either before or after the COVID-19 outbreak. Because I think in the apparel manufacturing industry to talk about sustainability is actually a false proposition, it is very difficult to do. If I buy sustainable fashion, the only motivation is that it has great design","Since the COVID-19 outbreak, I have observed many fast fashion brands starting to market themselves as sustainable. Marketing has also shifted from offline stores to Internet sales."
63,8/19/24 22:32:14,8/19/24 22:36:56,anonymous,,,Woman,1999,Full-time employed,Every two month,Quarterly,-50%,Disagree,Disagree,When I am bored with my current clothes,,When I find a piece I like,,Disagree,Agree,Agree,Agree,less important,Significant more important,Neutral,Neutral,less important,less important,More Important,Neutral,less important,More Important,Neutral,Neutral,less important,less important,More Important,Neutral,Bought less since covid,I throw them aside.,,I throw them aside.,,,Neither agree nor disagree,Neutral,Disagree,I have not noticed any changes,Not very care about sustainability ,Not quite care about these factors
64,8/19/24 22:39:23,8/19/24 22:47:39,anonymous,,,Woman,1998,Full-time employed,Weekly,Weekly,20%,Disagree,Disagree,When I find a piece I like,,When I find a piece I like,,Agree,Neither agree nor disagree,Agree,Agree,Neutral,More Important,Neutral,Neutral,Neutral,More Important,More Important,Neutral,Neutral,More Important,Neutral,Neutral,More Important,Neutral,Significant more important,More Important,I think there’s no obvious change.,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,"It’s more important in the live.
The motivation may be protecting environment.",They pay more attention to the marketing
65,8/20/24 19:32:25,8/20/24 19:36:53,anonymous,,,Woman,2003,Students,Quarterly,Quarterly,decrease 40%,Agree,Agree,When my clothes wear out,,When I find a piece I like,,Agree,Agree,Agree,Strongly agree,Neutral,less important,Neutral,More Important,More Important,Neutral,Significant more important,Neutral,Significant more important,More Important,More Important,More Important,less important,less important,Significant more important,Significant more important,I might but more but with its valuable price. I would rather buy the cheaper but neutral quality. ,I gave them to someone I know,,I gave them to someone I know,,,Agree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,Just for fashion I guess. Good design clothes would take better pictures. ,I think are the same.  Did not notice. 
66,8/20/24 19:38:35,8/20/24 19:42:59,anonymous,,,Woman,1997,Students,Quarterly,Quarterly,10%,Agree,Agree,When I find a piece I like,,When I find a piece I like,,Agree,Agree,Agree,Agree,less important,less important,less important,less important,less important,less important,More Important,less important,less important,less important,less important,less important,less important,less important,More Important,less important,There is inflation happening,I continue to wear them ,,I continue to wear them,,,Agree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,There is a trend on this,No I do not realize this 
67,8/20/24 19:31:05,8/20/24 19:43:34,anonymous,,,Man,2000,Students,Quarterly,Quarterly,-20%,Agree,Agree,When my clothes wear out,,When my clothes wear out,,Agree,Agree,Agree,Agree,Significant more important,Neutral,Neutral,Significant more important,More Important,Significant more important,Significant more important,Neutral,More Important,Significant less important,Neutral,Significant more important,less important,Significant more important,Significant more important,Significant more important,线上购物更频繁了，会根据发货地选择服装，距离远中转多的服装优先度会降低。,I throw them aside.,,I throw them aside.,,,Agree,Neutral,Agree,Somewhat increased and somewhat influenced my decisions,认为可持续时尚更重要了，对能源的认知更深入了，觉得可持续能源对人类未来发展十分重要。,快时尚产品更加注重营销了，而且快时尚产品质量有所提高，可持续发展性方面也有重大改变。
68,8/20/24 19:51:11,8/20/24 19:58:02,anonymous,,,Woman,2000,Full-time employed,Quarterly,Annually,Decrease 40%,Strongly agree,Strongly agree,When I find a piece I like,,Others,"Never… Not affordable for that anymore, need to save more for renting or other necessary expense",Agree,Disagree,Agree,Neither agree nor disagree,More Important,Neutral,Significant less important,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,Neutral,Significant less important,Significant more important,less important,Neutral,Significant more important,Neutral,Does not have any big change,I donate them.,,I donate them.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,"Just for save money, does not have that much to spend anymore ",People did not buy luxury clothes that much ( at least my coworkers and my friends are like that
69,8/20/24 20:09:47,8/20/24 20:11:39,anonymous,,,Man,1996,Full-time employed,Quarterly,Quarterly,10,Neither agree nor disagree,Neither agree nor disagree,When my clothes wear out,,When my clothes wear out,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,More Important,More Important,More Important,Significant more important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,i havent seen too many changes in shopping habits,I throw them aside.,,I continue to wear them,,,Neither agree nor disagree,Neutral,Agree,Greatly increased and positively influenced my decisions,i love sustainability,i am way more sustainable
70,8/20/24 20:07:45,8/20/24 20:12:45,anonymous,,,Man,1992,Full-time employed,Weekly,Every two month,6,Neither agree nor disagree,Agree,When I find a piece I like,,When I find a piece I like,,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neutral,More Important,Neutral,Significant more important,Neutral,Neutral,Neutral,More Important,Neutral,More Important,More Important,Neutral,More Important,less important,Neutral,Neutral,Yes I had to live a simple and focused life. ,I donate them.,,I throw them aside.,,,Neither agree nor disagree,Somewhat not important,Neither agree nor disagree,No change in marketing and no influence on my decisions,I live simply. I live within my means,"No, I dont compromise anything. I stay within everything. "
71,8/20/24 20:07:41,8/20/24 20:13:20,anonymous,,,Man,1993,Full-time employed,Weekly,Weekly,30,Disagree,Disagree,When I find a piece I like,,When I find a piece I like,,Strongly agree,Agree,Strongly agree,Strongly agree,Significant more important,More Important,Neutral,More Important,More Important,More Important,Neutral,More Important,Significant more important,More Important,Neutral,More Important,Significant more important,Significant more important,Neutral,Neutral,I feel like I'm definitely more reliant on virtual/online methods as opposed to indoor shopping experiences which has made me more susceptible to online shopping trends.,I donate them.,,I donate them.,,,Agree,Extremely important,Strongly agree,Greatly increased and positively influenced my decisions,I am definitely a lot more aware of companies or products that use environementally sustainable methods to produce their products. So much so that I'm willing to spend additional money on items made fairly and safely. I've noticed far maore sustainable based advertising since the covid product.,I feel like more companies may use more sustainable practices but I also feel like the quality is worse which causes people to have to buy clothing more frequently which is inevitable leading to great sustainability issues
72,8/20/24 20:07:36,8/20/24 20:13:24,anonymous,,,Man,1954,Retired ,Quarterly,Quarterly,0,Agree,Agree,When my clothes wear out,,When my clothes wear out,,Agree,Disagree,Strongly agree,Disagree,More Important,More Important,More Important,More Important,Neutral,More Important,More Important,More Important,More Important,More Important,More Important,More Important,Neutral,More Important,More Important,More Important,"They haven't been affected, I still shop and purchase the same way.",I continue to wear them ,,I continue to wear them,,,Disagree,Neutral,Disagree,Somewhat increased and somewhat influenced my decisions,I don't have motivation for a sustainable fashion purchase.,I haven't noticed much of a difference but I may be missing a lot.
73,8/20/24 20:09:08,8/20/24 20:13:47,anonymous,,,Man,1990,Full-time employed,Quarterly,Quarterly,10,Agree,Agree,When my clothes wear out,,When my clothes wear out,,Neither agree nor disagree,Agree,Agree,Agree,Neutral,less important,Neutral,More Important,less important,Neutral,More Important,More Important,less important,less important,less important,More Important,less important,Neutral,Significant more important,Significant more important,I am more frugal than I used to be since prices have dramatically increased,I have them in my closet but never use them.,,I continue to wear them,,,Disagree,Somewhat not important,Disagree,No change in marketing and no influence on my decisions,"Since wages have hardly increased compared to prices and infaltion, it becomes more difficult to warrant spending large amounts of money on designer clothes",I haven't noticed a major change other than price
74,8/20/24 20:08:08,8/20/24 20:14:42,anonymous,,,Woman,1991,Full-time employed,Every two month,Monthly ,30,Agree,Strongly agree,When my clothes wear out,,When I find a piece I like,,Agree,Strongly agree,Strongly agree,Agree,More Important,More Important,Neutral,Significant more important,Significant more important,More Important,More Important,More Important,More Important,Neutral,Significant more important,More Important,More Important,Significant more important,Neutral,More Important,"As remote work became more commonplace, the need for formal dress declined drastically. Comfort was now a top priority and this shift in focus led to an uptick in sales of loungewear, sweatpants, and casual tops while business attire lost its luster.",I reuse them after renovation.,,I gave them to someone I know,,,Agree,Neutral,Agree,Somewhat increased and somewhat influenced my decisions,"The pandemic shed light on the interdependence of worldwide supply chains and their susceptibilities, resulting in heightened awareness. Consumers became more mindful about labor conditions, environmental footprint and waste prevalent in fashion industry which drove them to value sustainable practices even more.","The fast fashion industry has undergone significant changes due to the COVID-19 pandemic, compelling brands to re-evaluate their strategies regarding quality, sustainability and marketing. Although a handful of companies have made considerable progress in adopting sustainable practices and enhancing product quality, it's imperative for consumers to observe any deceptive ""greenwashing"" tactics that may arise. As the industry advances over time, how well it accommodates both its preference towards swift production along with increasing demand from customers for eco-friendliness will determine its course moving forward."
